,0
0,1
1,1
2,6
3,6
4,1
5,3
6,3
7,3
8,3
9,3
10,0
11,4
12,3
13,3
14,4
15,1
16,1
17,1
18,1
19,3
20,4
21,4
22,3
23,0
24,1
25,5
26,3
27,0
28,3
29,3
30,0
31,3
32,3
33,3
34,4
35,1
36,1
37,6
38,3
39,3
40,3
41,1
42,3
43,3
44,1
45,1
46,6
47,1
48,3
49,3
50,4
51,3
52,3
53,0
54,1
55,6
56,6
57,0
58,3
59,3
60,4
61,1
62,2
63,1
64,5
65,1
66,6
67,4
68,3
69,4
70,3
71,3
72,1
73,3
74,3
75,1
76,3
77,3
78,4
79,6
80,3
81,0
82,1
83,6
84,1
85,1
86,3
87,3
88,1
89,3
90,0
91,0
92,3
93,3
94,3
95,0
96,3
97,4
98,3
99,3
100,6
101,3
102,1
103,1
104,1
105,0
106,3
107,4
108,1
109,0
110,1
111,1
112,4
113,3
114,6
115,6
116,6
117,3
118,3
119,4
120,0
121,1
122,6
123,4
124,3
125,6
126,4
127,5
128,3
129,4
130,6
131,1
132,1
133,0
134,4
135,3
136,4
137,3
138,3
139,3
140,0
141,6
142,4
143,1
144,1
145,3
146,4
147,3
148,1
149,4
150,1
151,0
152,3
153,3
154,6
155,4
156,1
157,3
158,0
159,6
160,1
161,3
162,1
163,1
164,4
165,3
166,4
167,0
168,1
169,1
170,4
171,4
172,3
173,6
174,0
175,0
176,1
177,3
178,3
179,4
180,3
181,1
182,1
183,4
184,3
185,1
186,3
187,3
188,4
189,4
190,6
191,1
192,4
193,3
194,1
195,3
196,0
197,4
198,4
199,3
200,6
201,3
202,3
203,1
204,4
205,3
206,3
207,3
208,1
209,3
210,1
211,3
212,1
213,1
214,3
215,4
216,1
217,3
218,3
219,3
220,6
221,1
222,1
223,0
224,3
225,6
226,0
227,1
228,6
229,3
230,3
231,4
232,3
233,4
234,3
235,1
236,4
237,4
238,0
239,3
240,0
241,0
242,1
243,1
244,3
245,0
246,0
247,1
248,3
249,6
250,3
251,1
252,3
253,1
254,3
255,3
256,4
257,3
258,3
259,3
260,1
261,1
262,3
263,3
264,6
265,3
266,3
267,4
268,3
269,1
270,1
271,0
272,3
273,1
274,3
275,3
276,3
277,6
278,3
279,4
280,1
281,3
282,3
283,3
284,3
285,3
286,3
287,3
288,1
289,1
290,1
291,3
292,0
293,3
294,1
295,6
296,0
297,0
298,3
299,0
300,3
301,0
302,6
303,6
304,3
305,1
306,3
307,4
308,6
309,1
310,1
311,1
312,4
313,1
314,3
315,1
316,2
317,6
318,4
319,1
320,1
321,0
322,4
323,6
324,3
325,6
326,1
327,3
328,1
329,1
330,3
331,4
332,3
333,3
334,4
335,0
336,3
337,3
338,1
339,3
340,1
341,6
342,1
343,3
344,6
345,4
346,3
347,1
348,3
349,3
350,1
351,3
352,6
353,3
354,1
355,4
356,3
357,1
358,1
359,4
360,1
361,3
362,3
363,4
364,6
365,3
366,3
367,4
368,3
369,4
370,4
371,3
372,1
373,4
374,4
375,1
376,0
377,3
378,3
379,3
380,0
381,3
382,3
383,3
384,1
385,4
386,1
387,3
388,1
389,1
390,3
391,1
392,2
393,3
394,6
395,3
396,1
397,1
398,3
399,1
400,6
401,0
402,1
403,6
404,6
405,3
406,3
407,0
408,4
409,3
410,3
411,0
412,6
413,3
414,3
415,4
416,6
417,1
418,1
419,3
420,3
421,0
422,1
423,0
424,1
425,4
426,4
427,3
428,3
429,2
430,4
431,1
432,2
433,3
434,6
435,3
436,3
437,1
438,0
439,3
440,3
441,3
442,1
443,0
444,3
445,1
446,4
447,3
448,3
449,4
450,0
451,3
452,4
453,3
454,1
455,6
456,4
457,6
458,1
459,3
460,6
461,1
462,4
463,6
464,6
465,2
466,3
467,4
468,3
469,1
470,1
471,4
472,1
473,6
474,3
475,3
476,3
477,3
478,3
479,3
480,3
481,2
482,4
483,1
484,5
485,3
486,3
487,4
488,1
489,1
490,5
491,4
492,6
493,0
494,3
495,1
496,4
497,3
498,0
499,3
500,1
501,3
502,4
503,1
504,1
505,3
506,1
507,4
508,3
509,3
510,4
511,3
512,1
513,3
514,6
515,1
516,6
517,3
518,4
519,3
520,1
521,3
522,4
523,6
524,3
525,3
526,1
527,3
528,1
529,6
530,6
531,3
532,3
533,6
534,1
535,1
536,4
537,1
538,3
539,3
540,3
541,4
542,0
543,3
544,1
545,6
546,0
547,1
548,3
549,3
550,3
551,3
552,3
553,1
554,3
555,3
556,3
557,3
558,4
559,0
560,0
561,1
562,3
563,4
564,3
565,1
566,3
567,1
568,6
569,1
570,3
571,4
572,0
573,4
574,3
575,3
576,4
577,3
578,0
579,0
580,1
581,1
582,4
583,0
584,1
585,0
586,4
587,3
588,1
589,6
590,3
591,0
592,1
593,1
594,6
595,0
596,3
597,3
598,3
599,4
600,3
601,3
602,4
603,3
604,4
605,6
606,0
607,3
608,3
609,4
610,3
611,1
612,3
613,1
614,3
615,1
616,6
617,3
618,3
619,6
620,1
621,6
622,3
623,4
624,4
625,6
626,6
627,1
628,0
629,1
630,4
631,4
632,3
633,1
634,3
635,1
636,5
637,4
638,3
639,0
640,4
641,4
642,6
643,6
644,1
645,4
646,3
647,1
648,3
649,6
650,6
651,1
652,3
653,6
654,1
655,3
656,3
657,1
658,3
659,1
660,1
661,4
662,1
663,3
664,1
665,3
666,3
667,1
668,4
669,1
670,3
671,1
672,3
673,3
674,1
675,3
676,3
677,3
678,3
679,3
680,6
681,3
682,0
683,0
684,1
685,3
686,1
687,1
688,4
689,3
690,4
691,3
692,1
693,6
694,1
695,4
696,6
697,4
698,5
699,3
700,0
701,4
702,1
703,1
704,0
705,1
706,4
707,3
708,6
709,1
710,3
711,0
712,3
713,1
714,6
715,1
716,1
717,6
718,2
719,1
720,3
721,6
722,1
723,6
724,3
725,0
726,4
727,4
728,3
729,1
730,3
731,6
732,1
733,4
734,3
735,6
736,0
737,6
738,4
739,1
740,3
741,1
742,1
743,3
744,6
745,4
746,6
747,3
748,6
749,4
750,1
751,3
752,6
753,1
754,6
755,3
756,1
757,6
758,4
759,1
760,4
761,1
762,1
763,1
764,1
765,3
766,0
767,0
768,1
769,3
770,6
771,3
772,0
773,3
774,4
775,1
776,4
777,4
778,0
779,3
780,3
781,0
782,4
783,4
784,1
785,4
786,1
787,1
788,1
789,3
790,1
791,1
792,3
793,1
794,1
795,3
796,3
797,1
798,6
799,3
800,0
801,3
802,4
803,6
804,3
805,1
806,6
807,6
808,6
809,6
810,1
811,0
812,3
