,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,18.0,138.0,13.0,491.0,61.0,17.0,17.0,3.0,9.0,110.0,74.0,9.0,4.0,7.0
1,18.0,207.0,10.0,1289.0,128.0,72.0,26.0,8.0,15.0,5268.0,28.0,20.0,11.0,12.0
2,18.0,11.0,17.0,20.0,124.0,1227.0,491.0,5.0,15.0,4743.0,28.0,25.0,59.0,16.0
3,5.0,14.0,14.0,19.0,156.0,1873.0,458.0,4.0,16.0,4108.0,21.0,28.0,76.0,17.0
4,48.0,1127.0,43.0,2189.0,128.0,75.0,29.0,4.0,17.0,523.0,316.0,16.0,12.0,10.0
5,4522.0,3479.0,38.0,55.0,111.0,44.0,30.0,6.0,13.0,4044.0,26.0,28.0,9.0,231.0
6,2910.0,2900.0,28.0,41.0,130.0,37.0,15.0,6.0,18.0,1081.0,43.0,16.0,8.0,179.0
7,3234.0,3079.0,23.0,49.0,159.0,46.0,11.0,2.0,97.0,195.0,366.0,33.0,18.0,34.0
8,2477.0,2670.0,23.0,42.0,82.0,20.0,19.0,4.0,13.0,1296.0,21.0,10.0,4.0,223.0
9,2091.0,3494.0,25.0,38.0,88.0,24.0,23.0,4.0,81.0,96.0,469.0,45.0,14.0,416.0
10,28.0,42.0,16.0,32.0,125.0,54.0,30.0,537.0,93.0,4806.0,30.0,39.0,15.0,29.0
11,3434.0,30.0,10955.0,32.0,171.0,32.0,39.0,16.0,19.0,296.0,1493.0,92.0,31.0,374.0
12,2633.0,2130.0,18.0,35.0,91.0,33.0,14.0,8.0,179.0,2075.0,19.0,17.0,10.0,53.0
13,2453.0,2319.0,28.0,39.0,112.0,38.0,15.0,6.0,183.0,2103.0,20.0,15.0,6.0,33.0
14,1848.0,26.0,7520.0,18.0,161.0,30.0,27.0,6.0,13.0,3714.0,40.0,29.0,8.0,181.0
15,44.0,255.0,25.0,1698.0,106.0,28.0,23.0,5.0,7.0,46.0,394.0,33.0,3.0,12.0
16,21.0,597.0,31.0,1606.0,124.0,85.0,42.0,3.0,41.0,70.0,590.0,17.0,19.0,7.0
17,41.0,293.0,104.0,1766.0,130.0,77.0,16.0,8.0,62.0,259.0,399.0,17.0,9.0,10.0
18,22.0,242.0,19.0,914.0,129.0,75.0,3.0,4.0,16.0,74.0,458.0,20.0,4.0,9.0
19,4238.0,3264.0,43.0,49.0,123.0,50.0,23.0,8.0,13.0,2748.0,29.0,23.0,15.0,244.0
20,1845.0,85.0,6361.0,30.0,128.0,34.0,24.0,9.0,12.0,2652.0,25.0,33.0,13.0,191.0
21,2211.0,22.0,6398.0,25.0,134.0,36.0,20.0,5.0,12.0,46.0,2108.0,241.0,46.0,14.0
22,3256.0,2449.0,19.0,25.0,97.0,50.0,14.0,5.0,13.0,1580.0,35.0,20.0,8.0,91.0
23,89.0,138.0,37.0,926.0,577.0,3600.0,495.0,451.0,40.0,8910.0,575.0,48.0,133.0,31.0
